Component,Origin,License,Copyright
dashdash@npm:1.14.1,https://yarnpkg.com/package/dashdash,MIT,
data-urls@npm:1.1.0,https://yarnpkg.com/package/data-urls,MIT,
debug@npm:2.6.9,https://yarnpkg.com/package/debug,MIT,
debug@npm:3.2.6,https://yarnpkg.com/package/debug,MIT,
debug@npm:4.1.1,https://yarnpkg.com/package/debug,MIT,
decamelize@npm:1.2.0,https://yarnpkg.com/package/decamelize,MIT,
decode-uri-component@npm:0.2.0,https://yarnpkg.com/package/decode-uri-component,MIT,
decompress-response@npm:3.3.0,https://yarnpkg.com/package/decompress-response,MIT,
deep-extend@npm:0.6.0,https://yarnpkg.com/package/deep-extend,MIT,
deep-is@npm:0.1.3,https://yarnpkg.com/package/deep-is,[object Object],
defer-to-connect@npm:1.1.0,https://yarnpkg.com/package/defer-to-connect,MIT,
define-properties@npm:1.1.3,https://yarnpkg.com/package/define-properties,MIT,
define-property@npm:0.2.5,https://yarnpkg.com/package/define-property,MIT,
define-property@npm:1.0.0,https://yarnpkg.com/package/define-property,MIT,
define-property@npm:2.0.2,https://yarnpkg.com/package/define-property,MIT,
delayed-stream@npm:1.0.0,https://yarnpkg.com/package/delayed-stream,MIT,
delegates@npm:1.0.0,https://yarnpkg.com/package/delegates,MIT,
detect-libc@npm:1.0.3,https://yarnpkg.com/package/detect-libc,Apache-2.0,
detect-newline@npm:2.1.0,https://yarnpkg.com/package/detect-newline,MIT,
diff-sequences@npm:24.9.0,https://yarnpkg.com/package/diff-sequences,MIT,
doctrine@npm:3.0.0,https://yarnpkg.com/package/doctrine,Apache-2.0,
domexception@npm:1.0.1,https://yarnpkg.com/package/domexception,MIT,
duplexer3@npm:0.1.4,https://yarnpkg.com/package/duplexer3,BSD-3-Clause,
ecc-jsbn@npm:0.1.2,https://yarnpkg.com/package/ecc-jsbn,MIT,
emoji-regex@npm:7.0.3,https://yarnpkg.com/package/emoji-regex,MIT,
emoji-regex@npm:8.0.0,https://yarnpkg.com/package/emoji-regex,MIT,
end-of-stream@npm:1.4.4,https://yarnpkg.com/package/end-of-stream,MIT,
env-paths@npm:2.2.0,https://yarnpkg.com/package/env-paths,MIT,
error-ex@npm:1.3.2,https://yarnpkg.com/package/error-ex,MIT,
es-abstract@npm:1.16.2,https://yarnpkg.com/package/es-abstract,MIT,
es-to-primitive@npm:1.2.1,https://yarnpkg.com/package/es-to-primitive,MIT,
escape-string-regexp@npm:1.0.5,https://yarnpkg.com/package/escape-string-regexp,MIT,
escodegen@npm:1.12.0,https://yarnpkg.com/package/escodegen,BSD-2-Clause,
eslint-plugin-header@npm:3.0.0,https://yarnpkg.com/package/eslint-plugin-header,MIT,
eslint-scope@npm:5.0.0,https://yarnpkg.com/package/eslint-scope,BSD-2-Clause,
eslint-utils@npm:1.4.3,https://yarnpkg.com/package/eslint-utils,MIT,
eslint-visitor-keys@npm:1.1.0,https://yarnpkg.com/package/eslint-visitor-keys,Apache-2.0,
eslint@npm:6.8.0,https://yarnpkg.com/package/eslint,MIT,
espree@npm:6.1.2,https://yarnpkg.com/package/espree,BSD-2-Clause,
esprima@npm:3.1.3,https://yarnpkg.com/package/esprima,BSD-2-Clause,
esprima@npm:4.0.1,https://yarnpkg.com/package/esprima,BSD-2-Clause,
esquery@npm:1.0.1,https://yarnpkg.com/package/esquery,BSD-3-Clause,
esrecurse@npm:4.2.1,https://yarnpkg.com/package/esrecurse,BSD-2-Clause,
estraverse@npm:4.3.0,https://yarnpkg.com/package/estraverse,BSD-2-Clause,
esutils@npm:2.0.3,https://yarnpkg.com/package/esutils,BSD-2-Clause,
exec-sh@npm:0.3.4,https://yarnpkg.com/package/exec-sh,MIT,
execa@npm:1.0.0,https://yarnpkg.com/package/execa,MIT,
exit@npm:0.1.2,https://yarnpkg.com/package/exit,undefined,
expand-brackets@npm:2.1.4,https://yarnpkg.com/package/expand-brackets,MIT,
expect@npm:24.9.0,https://yarnpkg.com/package/expect,MIT,
extend-shallow@npm:2.0.1,https://yarnpkg.com/package/extend-shallow,MIT,
extend-shallow@npm:3.0.2,https://yarnpkg.com/package/extend-shallow,MIT,
extend@npm:3.0.2,https://yarnpkg.com/package/extend,MIT,
external-editor@npm:3.1.0,https://yarnpkg.com/package/external-editor,MIT,
extglob@npm:2.0.4,https://yarnpkg.com/package/extglob,MIT,
extsprintf@npm:1.3.0,https://yarnpkg.com/package/extsprintf,MIT,
fast-deep-equal@npm:2.0.1,https://yarnpkg.com/package/fast-deep-equal,MIT,
fast-json-stable-stringify@npm:2.0.0,https://yarnpkg.com/package/fast-json-stable-stringify,MIT,
fast-levenshtein@npm:2.0.6,https://yarnpkg.com/package/fast-levenshtein,MIT,
fb-watchman@npm:2.0.0,https://yarnpkg.com/package/fb-watchman,Apache-2.0,
figures@npm:3.1.0,https://yarnpkg.com/package/figures,MIT,
file-entry-cache@npm:5.0.1,https://yarnpkg.com/package/file-entry-cache,MIT,
fill-range@npm:4.0.0,https://yarnpkg.com/package/fill-range,MIT,
find-cache-dir@npm:2.1.0,https://yarnpkg.com/package/find-cache-dir,MIT,
find-up@npm:3.0.0,https://yarnpkg.com/package/find-up,MIT,
flat-cache@npm:2.0.1,https://yarnpkg.com/package/flat-cache,MIT,
flatted@npm:2.0.1,https://yarnpkg.com/package/flatted,ISC,
fn-name@npm:2.0.1,https://yarnpkg.com/package/fn-name,MIT,
for-in@npm:1.0.2,https://yarnpkg.com/package/for-in,MIT,
forever-agent@npm:0.6.1,https://yarnpkg.com/package/forever-agent,Apache-2.0,
form-data@npm:2.3.3,https://yarnpkg.com/package/form-data,MIT,
form-data@npm:2.5.1,https://yarnpkg.com/package/form-data,MIT,
fragment-cache@npm:0.2.1,https://yarnpkg.com/package/fragment-cache,MIT,
fs-minipass@npm:1.2.7,https://yarnpkg.com/package/fs-minipass,ISC,
fs-readdir-recursive@npm:1.1.0,https://yarnpkg.com/package/fs-readdir-recursive,MIT,
fs.realpath@npm:1.0.0,https://yarnpkg.com/package/fs.realpath,ISC,
fsevents@npm:1.2.9,https://yarnpkg.com/package/fsevents,MIT,
function-bind@npm:1.1.1,https://yarnpkg.com/package/function-bind,MIT,
functional-red-black-tree@npm:1.0.1,https://yarnpkg.com/package/functional-red-black-tree,MIT,
gauge@npm:2.7.4,https://yarnpkg.com/package/gauge,ISC,
gensync@npm:1.0.0-beta.1,https://yarnpkg.com/package/gensync,MIT,
get-caller-file@npm:2.0.5,https://yarnpkg.com/package/get-caller-file,ISC,
get-stream@npm:4.1.0,https://yarnpkg.com/package/get-stream,MIT,
get-stream@npm:5.1.0,https://yarnpkg.com/package/get-stream,MIT,
get-value@npm:2.0.6,https://yarnpkg.com/package/get-value,MIT,
getpass@npm:0.1.7,https://yarnpkg.com/package/getpass,MIT,
glob-parent@npm:3.1.0,https://yarnpkg.com/package/glob-parent,ISC,
glob-parent@npm:5.1.0,https://yarnpkg.com/package/glob-parent,ISC,
glob@npm:7.1.6,https://yarnpkg.com/package/glob,ISC,
globals@npm:11.12.0,https://yarnpkg.com/package/globals,MIT,
globals@npm:12.3.0,https://yarnpkg.com/package/globals,MIT,
got@npm:9.6.0,https://yarnpkg.com/package/got,MIT,
graceful-fs@npm:4.2.3,https://yarnpkg.com/package/graceful-fs,ISC,
growly@npm:1.3.0,https://yarnpkg.com/package/growly,MIT,
handlebars@npm:4.5.3,https://yarnpkg.com/package/handlebars,MIT,
har-schema@npm:2.0.0,https://yarnpkg.com/package/har-schema,ISC,
har-validator@npm:5.1.3,https://yarnpkg.com/package/har-validator,MIT,
has-flag@npm:3.0.0,https://yarnpkg.com/package/has-flag,MIT,
has-flag@npm:4.0.0,https://yarnpkg.com/package/has-flag,MIT,
has-own-prop@npm:2.0.0,https://yarnpkg.com/package/has-own-prop,MIT,
has-symbols@npm:1.0.1,https://yarnpkg.com/package/has-symbols,MIT,
has-unicode@npm:2.0.1,https://yarnpkg.com/package/has-unicode,ISC,
has-value@npm:0.3.1,https://yarnpkg.com/package/has-value,MIT,
has-value@npm:1.0.0,https://yarnpkg.com/package/has-value,MIT,
has-values@npm:0.1.4,https://yarnpkg.com/package/has-values,MIT,
has-values@npm:1.0.0,https://yarnpkg.com/package/has-values,MIT,
has@npm:1.0.3,https://yarnpkg.com/package/has,MIT,
hosted-git-info@npm:2.8.5,https://yarnpkg.com/package/hosted-git-info,ISC,
html-encoding-sniffer@npm:1.0.2,https://yarnpkg.com/package/html-encoding-sniffer,MIT,
http-cache-semantics@npm:4.0.3,https://yarnpkg.com/package/http-cache-semantics,BSD-2-Clause,
http-signature@npm:1.2.0,https://yarnpkg.com/package/http-signature,MIT,
iconv-lite@npm:0.4.24,https://yarnpkg.com/package/iconv-lite,MIT,
ignore-walk@npm:3.0.3,https://yarnpkg.com/package/ignore-walk,ISC,
ignore@npm:4.0.6,https://yarnpkg.com/package/ignore,MIT,
import-fresh@npm:3.2.1,https://yarnpkg.com/package/import-fresh,MIT,
import-local@npm:2.0.0,https://yarnpkg.com/package/import-local,MIT,
imurmurhash@npm:0.1.4,https://yarnpkg.com/package/imurmurhash,MIT,
inflight@npm:1.0.6,https://yarnpkg.com/package/inflight,ISC,
inherits@npm:2.0.4,https://yarnpkg.com/package/inherits,ISC,
ini@npm:1.3.5,https://yarnpkg.com/package/ini,ISC,
inquirer@npm:7.0.3,https://yarnpkg.com/package/inquirer,MIT,
invariant@npm:2.2.4,https://yarnpkg.com/package/invariant,MIT,
is-accessor-descriptor@npm:0.1.6,https://yarnpkg.com/package/is-accessor-descriptor,MIT,
is-accessor-descriptor@npm:1.0.0,https://yarnpkg.com/package/is-accessor-descriptor,MIT,
is-arrayish@npm:0.2.1,https://yarnpkg.com/package/is-arrayish,MIT,
is-binary-path@npm:1.0.1,https://yarnpkg.com/package/is-binary-path,MIT,
is-buffer@npm:1.1.6,https://yarnpkg.com/package/is-buffer,MIT,
is-callable@npm:1.1.4,https://yarnpkg.com/package/is-callable,MIT,
is-ci@npm:2.0.0,https://yarnpkg.com/package/is-ci,MIT,
is-data-descriptor@npm:0.1.4,https://yarnpkg.com/package/is-data-descriptor,MIT,
is-data-descriptor@npm:1.0.0,https://yarnpkg.com/package/is-data-descriptor,MIT,
is-date-object@npm:1.0.1,https://yarnpkg.com/package/is-date-object,MIT,
is-descriptor@npm:0.1.6,https://yarnpkg.com/package/is-descriptor,MIT,
is-descriptor@npm:1.0.2,https://yarnpkg.com/package/is-descriptor,MIT,
is-extendable@npm:0.1.1,https://yarnpkg.com/package/is-extendable,MIT,
is-extendable@npm:1.0.1,https://yarnpkg.com/package/is-extendable,MIT,
is-extglob@npm:2.1.1,https://yarnpkg.com/package/is-extglob,MIT,
is-fullwidth-code-point@npm:1.0.0,https://yarnpkg.com/package/is-fullwidth-code-point,MIT,
is-fullwidth-code-point@npm:2.0.0,https://yarnpkg.com/package/is-fullwidth-code-point,MIT,
is-fullwidth-code-point@npm:3.0.0,https://yarnpkg.com/package/is-fullwidth-code-point,MIT,
is-generator-fn@npm:2.1.0,https://yarnpkg.com/package/is-generator-fn,MIT,
is-glob@npm:3.1.0,https://yarnpkg.com/package/is-glob,MIT,
is-glob@npm:4.0.1,https://yarnpkg.com/package/is-glob,MIT,
is-number@npm:3.0.0,https://yarnpkg.com/package/is-number,MIT,
is-plain-object@npm:2.0.4,https://yarnpkg.com/package/is-plain-object,MIT,
is-promise@npm:2.1.0,https://yarnpkg.com/package/is-promise,MIT,
is-regex@npm:1.0.4,https://yarnpkg.com/package/is-regex,MIT,
is-stream@npm:1.1.0,https://yarnpkg.com/package/is-stream,MIT,
is-symbol@npm:1.0.3,https://yarnpkg.com/package/is-symbol,MIT,
is-typedarray@npm:1.0.0,https://yarnpkg.com/package/is-typedarray,MIT,
is-windows@npm:1.0.2,https://yarnpkg.com/package/is-windows,MIT,
is-wsl@npm:1.1.0,https://yarnpkg.com/package/is-wsl,MIT,
isarray@npm:1.0.0,https://yarnpkg.com/package/isarray,MIT,
isexe@npm:2.0.0,https://yarnpkg.com/package/isexe,ISC,
isobject@npm:2.1.0,https://yarnpkg.com/package/isobject,MIT,
isobject@npm:3.0.1,https://yarnpkg.com/package/isobject,MIT,
isstream@npm:0.1.2,https://yarnpkg.com/package/isstream,MIT,
istanbul-lib-coverage@npm:2.0.5,https://yarnpkg.com/package/istanbul-lib-coverage,BSD-3-Clause,
istanbul-lib-instrument@npm:3.3.0,https://yarnpkg.com/package/istanbul-lib-instrument,BSD-3-Clause,
istanbul-lib-report@npm:2.0.8,https://yarnpkg.com/package/istanbul-lib-report,BSD-3-Clause,
istanbul-lib-source-maps@npm:3.0.6,https://yarnpkg.com/package/istanbul-lib-source-maps,BSD-3-Clause,
istanbul-reports@npm:2.2.6,https://yarnpkg.com/package/istanbul-reports,BSD-3-Clause,
jest-changed-files@npm:24.9.0,https://yarnpkg.com/package/jest-changed-files,MIT,
jest-cli@npm:24.9.0,https://yarnpkg.com/package/jest-cli,MIT,
jest-config@npm:24.9.0,https://yarnpkg.com/package/jest-config,MIT,
jest-diff@npm:24.9.0,https://yarnpkg.com/package/jest-diff,MIT,
jest-docblock@npm:24.9.0,https://yarnpkg.com/package/jest-docblock,MIT,
